PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title
1,0,3,"Braund, Mr. Owen Harris",True,-0.5303766406838785,1,0,A/5 21171,-0.5189778652472694,,S,-0.7339841393273954
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",False,0.571830994003175,1,0,PC 17599,0.6918967500566985,C85,C,1.0920251829017344
3,1,3,"Heikkinen, Miss. Laina",False,-0.25482473201211503,0,0,STON/O2. 3101282,-0.5062135634647565,,S,0.17902052178716957
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",False,0.36516706249935255,1,0,113803,0.34804915212786086,C123,S,1.0920251829017344
5,0,3,"Allen, Mr. William Henry",True,0.36516706249935255,0,0,373450,-0.5038498038754023,,S,-0.7339841393273954
7,0,1,"McCarthy, Mr. Timothy J",True,1.6740386286902287,0,0,17463,0.32464793219325394,E46,S,-0.7339841393273954
8,0,3,"Palsson, Master. Gosta Leonard",True,-1.9081361840426954,3,1,349909,-0.257546054664692,,S,2.0050298440163
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",False,-0.1859367548441742,0,2,347742,-0.4455443643405553,,S,1.0920251829017344
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",False,-1.0814804580274051,1,0,237736,-0.08743478655338999,,C,1.0920251829017344
11,1,3,"Sandstrom, Miss. Marguerite Rut",False,-1.7703602297068137,1,1,PP 9549,-0.3402776402920899,G6,S,0.17902052178716957
12,1,1,"Bonnell, Miss. Elizabeth",False,1.949590537361992,0,0,113783,-0.15401338465097683,C103,S,0.17902052178716957
13,0,3,"Saundercock, Mr. William Henry",True,-0.6681525950197601,0,0,A/5. 2151,-0.5038498038754023,,S,-0.7339841393273954
14,0,3,"Andersson, Mr. Anders Johan",True,0.6407189711711159,1,5,347082,-0.06466327217338712,,S,-0.7339841393273954
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",False,-1.0814804580274051,0,0,350406,-0.5075523968961668,,S,0.17902052178716957
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",False,1.7429266058581694,0,0,248706,-0.35351469399247354,,S,1.0920251829017344
17,0,3,"Rice, Master. Eugene",True,-1.9081361840426954,4,1,382652,-0.10531993711027979,,Q,2.0050298440163
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",False,0.08961515382758917,1,0,345763,-0.31569454056280594,,S,1.0920251829017344
21,0,2,"Fynney, Mr. Joseph J",True,0.36516706249935255,0,0,239865,-0.16441392684413544,,S,-0.7339841393273954
22,1,2,"Beesley, Mr. Lawrence",True,0.2962790853314117,0,0,248698,-0.410244924136975,D56,S,-0.7339841393273954
23,1,3,"McGowan, Miss. Anna ""Annie""",False,-1.0125924808594644,0,0,330923,-0.504243133471071,,Q,0.17902052178716957
24,1,1,"Sloper, Mr. William Thompson",True,-0.11704877767623337,0,0,113788,0.015231801946785766,A6,S,-0.7339841393273954
25,0,3,"Palsson, Miss. Torborg Danira",False,-1.4948083210350502,3,1,349909,-0.257546054664692,,S,0.17902052178716957
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",False,0.571830994003175,1,5,347077,-0.0625358885429683,,S,1.0920251829017344
28,0,1,"Fortune, Mr. Charles Alexander",True,-0.7370405721877009,3,2,19950,4.317274254571478,C23 C25 C27,S,-0.7339841393273954
31,0,1,"Uruchurtu, Don. Manuel E",True,0.7096069483390568,0,0,PC 17601,-0.1318734668332494,,C,2.9180345051308647
34,0,2,"Wheadon, Mr. Edward H",True,2.500694354705519,0,0,C.A. 24579,-0.4575201159240595,,S,-0.7339841393273954
35,0,1,"Meyer, Mr. Edgar Joseph",True,-0.11704877767623337,1,0,PC 17604,0.8977802102894517,,C,-0.7339841393273954
36,0,1,"Holverson, Mr. Alexander Oskar",True,0.8473829026749384,1,0,113789,0.32724806774154364,,S,-0.7339841393273954
38,0,3,"Cann, Mr. Ernest Charles",True,-0.5992646178518193,0,0,A./5. 2152,-0.5038498038754023,,S,-0.7339841393273954
39,0,3,"Vander Planke, Miss. Augusta Maria",False,-0.8059285493556418,2,0,345764,-0.31569454056280594,,S,0.17902052178716957
40,1,3,"Nicola-Yarred, Miss. Jamila",False,-1.0814804580274051,1,0,2651,-0.4434945120246673,,C,0.17902052178716957
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",False,0.7096069483390568,1,0,7546,-0.47690294455676413,,S,1.0920251829017344
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",False,-0.1859367548441742,1,0,11668,-0.2589643104183045,,S,1.0920251829017344
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",False,-1.8392482068747544,1,2,SC/Paris 2123,0.13018994031160347,,C,0.17902052178716957
45,1,3,"Devaney, Miss. Margaret Delia",False,-0.7370405721877009,0,0,330958,-0.5070796449782959,,Q,0.17902052178716957
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",False,-0.8059285493556418,1,0,349237,-0.3194765559057727,,S,1.0920251829017344
51,0,3,"Panula, Master. Juha Niilo",True,-1.5636962982029912,4,1,3101295,0.09441774819015235,,S,2.0050298440163
52,0,3,"Nosworthy, Mr. Richard Cater",True,-0.5992646178518193,0,0,A/4. 39886,-0.5085773230541109,,S,-0.7339841393273954
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",False,1.3295987428505243,1,0,PC 17572,0.794879136838012,D33,C,1.0920251829017344
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",False,-0.04816080050829252,1,0,2926,-0.16441392684413544,,S,1.0920251829017344
55,0,1,"Ostby, Mr. Engelhart Cornelius",True,2.431806377537578,0,1,113509,0.5159555052942132,B30,C,-0.7339841393273954
57,1,2,"Rugg, Miss. Emily",False,-0.5992646178518193,0,0,C.A. 31026,-0.4575201159240595,,S,0.17902052178716957
58,0,3,"Novel, Mr. Mansouer",True,-0.08260478909226295,0,0,2697,-0.519371194842938,,C,-0.7339841393273954
59,1,2,"West, Miss. Constance Mirium",False,-1.7014722525388728,1,2,C.A. 34651,-0.13132129259317626,,S,0.17902052178716957
60,0,3,"Goodwin, Master. William Frederick",True,-1.2881443895312277,5,2,CA 2144,0.2308066764958912,,S,2.0050298440163
61,0,3,"Sirayanian, Mr. Orsen",True,-0.5303766406838785,0,0,2669,-0.519371194842938,,C,-0.7339841393273954
62,1,1,"Icard, Miss. Amelie",False,0.571830994003175,0,0,113572,0.8567302157568903,B28,,0.17902052178716957
63,0,1,"Harris, Mr. Henry Birkhardt",True,1.054046834178761,1,0,36973,0.9224427323409378,C83,S,-0.7339841393273954
64,0,3,"Skoog, Master. Harald",True,-1.7703602297068137,3,2,347088,-0.12848478108595124,,S,2.0050298440163
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",False,-0.04816080050829252,0,0,C.A. 29395,-0.4575201159240595,F33,S,1.0920251829017344
68,0,3,"Crease, Mr. Ernest James",True,-0.7370405721877009,0,0,S.P. 3464,-0.5018018425671859,,S,-0.7339841393273954
69,1,3,"Andersson, Miss. Erna Alexandra",False,-0.8748165265235827,4,2,3101281,-0.5062135634647565,,S,0.17902052178716957
70,0,3,"Kink, Mr. Vincenz",True,-0.25482473201211503,2,0,315151,-0.49226738188756664,,S,-0.7339841393273954
71,0,2,"Jenkin, Mr. Stephen Curnow",True,0.15850313099553,0,0,C.A. 33111,-0.4575201159240595,,S,-0.7339841393273954
72,0,3,"Goodwin, Miss. Lillian Amy",False,-0.9437045036915235,5,2,CA 2144,0.2308066764958912,,S,0.17902052178716957
73,0,2,"Hood, Mr. Ambrose Jr",True,-0.5992646178518193,0,0,S.O.C. 14879,0.7338147171104706,,S,-0.7339841393273954
74,0,3,"Chronopoulos, Mr. Apostolos",True,-0.25482473201211503,1,0,2680,-0.3827458905782637,,C,-0.7339841393273954
75,1,3,"Bing, Mr. Lee",True,0.15850313099553,0,0,1601,0.41226399063609354,,S,-0.7339841393273954
76,0,3,"Moen, Mr. Sigurd Hansen",True,-0.3237127091800559,0,0,348123,-0.5114138345613359,F G73,S,-0.7339841393273954
79,1,2,"Caldwell, Master. Alden Gates",True,-1.9887351173291863,0,2,248738,-0.10768369669963401,,S,2.0050298440163
80,1,3,"Dowdell, Miss. Elizabeth",False,0.020727176659648322,0,0,364516,-0.4201727144122627,,S,0.17902052178716957
81,0,3,"Waelens, Mr. Achille",True,-0.5303766406838785,0,0,345767,-0.48588523099631026,,S,-0.7339841393273954
82,1,3,"Sheerlinck, Mr. Jan Baptist",True,-0.04816080050829252,0,0,345779,-0.47643019263889336,,S,-0.7339841393273954
84,0,1,"Carrau, Mr. Francisco M",True,-0.11704877767623337,0,0,113059,0.234588691838858,,S,-0.7339841393273954
85,1,2,"Ilett, Miss. Bertha",False,-0.8748165265235827,0,0,SO/C 14885,-0.4575201159240595,,S,0.17902052178716957
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",False,0.22739110816347086,3,0,3101278,-0.3563512054996986,,S,1.0920251829017344
87,0,3,"Ford, Mr. William Neal",True,-0.9437045036915235,1,3,W./C. 6608,-0.006042034357402272,,S,-0.7339841393273954
89,1,1,"Fortune, Miss. Mabel Helen",False,-0.4614886635159376,3,2,19950,4.317274254571478,C23 C25 C27,S,0.17902052178716957
90,0,3,"Celotti, Mr. Francesco",True,-0.3926006863479967,0,0,343275,-0.5038498038754023,,S,-0.7339841393273954
91,0,3,"Christmann, Mr. Emil",True,-0.04816080050829252,0,0,343276,-0.5038498038754023,,S,-0.7339841393273954
92,0,3,"Andreasson, Mr. Paul Edvin",True,-0.6681525950197601,0,0,347466,-0.5075523968961668,,S,-0.7339841393273954
93,0,1,"Chaffee, Mr. Herbert Fuller",True,1.122934811346702,1,0,W.E.P. 5734,0.5007480216001439,E31,S,-0.7339841393273954
94,0,3,"Dean, Mr. Bertram Frank",True,-0.25482473201211503,1,2,C.A. 2315,-0.2670010930221089,,S,-0.7339841393273954
95,0,3,"Coxon, Mr. Daniel",True,2.018478514529933,0,0,364500,-0.5189778652472694,,S,-0.7339841393273954
97,0,1,"Goldschmidt, Mr. George B",True,2.845134240545223,0,0,PC 17754,-0.0007623409386206146,A5,C,-0.7339841393273954
